district,state,flood_event_count,avg_flood_duration,max_flood_duration,median_flood_duration,std_flood_duration,total_area_affected,avg_area_affected,total_human_fatalities,total_human_injuries,total_human_displaced,total_animal_fatalities,severe_event_count,percent_flooded_area,permanent_water,corrected_percent_flooded_area,population,impact_mean_flood_duration,impact_human_fatalities,impact_human_injuries,dfsi,risk_class
Charaideo,ASSAM,33,18.21212121212121,93.0,12.0,20.53618388320597,0.0,,1369.0,49.0,0.0,5220302.0,0.0,16.05397104,0.010879162,16.04309188,496227.0,18.0,50.0,1.0,14.498483193678696,High
Doda,JAMMU & KASHMIR,9,1.1111111111111112,2.0,1.0,0.3333333333333333,0.0,,25.0,21.0,0.0,125.0,0.0,0.541398151,0.270867996,0.270530155,563657.0,4.0,122.0,34.0,14.487666525517204,High
Yavatmal,MAHARASHTRA,70,3.642857142857143,31.0,2.0,4.426650889243255,0.0,,1455.0,104.0,1.0,20824.0,0.0,0.98190471,0.983855741,0.001951031,3117757.0,4.0,211.0,22.0,14.48260719028669,High
Chitrakoot,UTTAR PRADESH,16,11.125,89.0,1.5,22.00265135538594,0.0,,1628.0,25.0,0.0,3952.0,0.0,2.917583682,0.454897641,2.462686041,1269815.0,24.0,41.0,3.0,14.4798686527041,High
Upper Siang,ARUNACHAL PRADESH,22,4.136363636363637,17.0,1.0,4.52817060238779,0.0,,102.0,2034.0,2.0,16.0,0.0,2.722491305,0.336009842,2.386481463,34326.0,4.0,24.0,671.0,14.46874306085235,High
Jabalpur,MADHYA PRADESH,22,4.181818181818182,14.0,3.0,3.825184261187248,0.0,,214.0,6.0,0.0,3843.0,0.0,1.701345896,1.091398785,0.609947111,2843254.0,5.0,54.0,6.0,14.46779199915463,High
Koppal,KARNATAKA,23,11.608695652173912,31.0,5.0,12.00658580808043,0.0,,1224.0,54.0,0.0,9215.0,0.0,1.056602421,0.555929835,0.500672586,1551558.0,11.0,74.0,3.0,14.465288797483144,High
Kaushambi,UTTAR PRADESH,19,9.052631578947368,89.0,1.0,20.554733664618276,0.0,,1605.0,1.0,0.0,3945.0,0.0,5.838259619,0.615851316,5.222408303,1981279.0,21.0,41.0,1.0,14.462724521248196,High
Dindigul,TAMIL NADU,19,5.7368421052631575,16.0,3.0,5.455294118388912,0.0,,784.0,169.0,0.0,4284.0,0.0,0.458409501,0.079067201,0.3793423,2457758.0,6.0,52.0,12.0,14.460504975996663,High
Hassan,KARNATAKA,41,9.0,31.0,4.0,10.74476616776745,0.0,,874.0,112.0,50.0,11570.0,0.0,0.65942209,0.611212696,0.048209394,1843387.0,9.0,61.0,28.0,14.452359136779716,High
